Provider_NPI,Provider_LastName,Provider_Speciality,State,Provider_Avg,National_Avg,Difference
1386004018,"Coppel Surgical Solutions","Ambulatory Surgical Center",NV,21166.730000,1301.589122,19865.14
1447661145,"Advanced Outpatient Surgery Of Oklahoma, Llc","Ambulatory Surgical Center",OK,14795.130000,1301.589122,13493.54
1760859334,"Visalia Ambulatory Surgical Center Llc","Ambulatory Surgical Center",CA,14449.973333,1301.589122,13148.38
1922625995,"National Surgical Centers Stockton, Llc","Ambulatory Surgical Center",CA,13392.762500,1301.589122,12091.17
1982246575,"Golden State Heart & Vascular Associates","Ambulatory Surgical Center",CA,12978.210000,1301.589122,11676.62
1336510486,"Sacramento Heart Ambulatory Surgery Center, Inc","Ambulatory Surgical Center",CA,12716.026667,1301.589122,11414.44
1497120463,"The Cardiovascular Surgical Center, Inc.","Ambulatory Surgical Center",CA,12123.391111,1301.589122,10821.80
1215492061,"Advanced Spine Center Of Wisconsin, Llc","Ambulatory Surgical Center",WI,11998.493333,1301.589122,10696.90
1548789183,"Valley Surgery Center Iii Llc","Ambulatory Surgical Center",AZ,11745.575000,1301.589122,10443.99
1871960153,"Turner Surgery Center, Llc","Ambulatory Surgical Center",TN,11584.243333,1301.589122,10282.65
1023787488,"Surgcenter Of Riverview, Llc","Ambulatory Surgical Center",FL,11113.850000,1301.589122,9812.26
1306434998,"Ambulatory Surgery Center Of Bala Cynwyd, Llc","Ambulatory Surgical Center",PA,10521.840000,1301.589122,9220.25
1912412420,"Galea Center, Llc.","Ambulatory Surgical Center",CA,10478.572500,1301.589122,9176.98
1477891364,"Alaska Heart Institute","Ambulatory Surgical Center",AK,10277.668571,1301.589122,8976.08
1144980541,"Cedar Crest Surgery Center Llc","Ambulatory Surgical Center",PA,9869.272000,1301.589122,8567.68
1427585280,"Pinnacle Surgery Center, Inc","Ambulatory Surgical Center",CA,9636.640000,1301.589122,8335.05
1841680691,"Texan Procedure Center, Llc","Ambulatory Surgical Center",TX,9431.360000,1301.589122,8129.77
1659842128,"Milestone Surgical Center Llc","Ambulatory Surgical Center",CO,9357.975000,1301.589122,8056.39
1013021682,"Phoenix Eye Surgical Center Plc","Ambulatory Surgical Center",AZ,9332.215000,1301.589122,8030.63
1740771708,"East Fort Lauderdale Asc Llc","Ambulatory Surgical Center",FL,9288.855000,1301.589122,7987.27
